target,enrollee_id
0,23798
0,29166
0,46
0,18527
1,21751
0,13342
1,11746
0,24127
0,7615
0,9676
0,32957
0,13091
0,681
0,33356
0,20247
0,19752
0,28429
0,16508
0,13977
0,2776
0,16443
0,16067
0,20897
0,25178
1,3472
0,30466
0,18230
0,5634
0,11753
0,20881
0,23129
0,10386
0,5861
0,7537
0,14983
0,4957
0,13970
0,5325
1,32506
0,7006
1,5104
0,4653
0,18048
0,8861
0,10504
0,18446
0,20785
0,32244
0,23890
0,1501
0,5298
1,14257
0,32472
0,31515
0,11053
1,26862
0,26834
1,12935
0,27162
0,27439
1,11777
0,20501
0,5735
0,20605
1,16154
1,26681
0,9723
0,23783
0,24692
0,18022
0,27259
0,1297
0,21843
0,29170
1,28674
0,2196
0,31802
0,18150
0,26051
0,26651
0,4903
1,11934
0,19102
1,12006
0,6017
0,26507
0,16462
0,13854
0,25275
0,27329
0,14164
0,31021
0,28038
0,31131
0,6279
0,27425
1,10779
0,7286
0,18410
0,3340
0,15778
0,11349
1,50
0,30434
0,19173
0,25243
0,31166
0,24677
0,6273
0,17777
0,21104
0,27322
0,12449
0,15775
0,22693
0,16656
0,13750
0,6889
0,21293
0,11422
0,5727
0,20431
0,26581
0,14323
0,1502
0,16777
0,24209
0,3129
0,27591
1,29489
0,6696
0,543
0,4053
0,32584
0,33312
0,12796
0,12222
0,14455
0,655
1,11270
0,8714
0,7110
1,8435
0,30010
0,13034
0,15830
0,12676
0,9084
0,2218
0,17077
0,16338
0,30097
0,180
0,30408
0,27281
0,3124
0,26068
1,27205
0,9339
1,28438
1,12887
0,3365
0,21525
1,13359
0,16924
0,13919
0,13389
0,32434
0,12808
0,22490
0,23114
1,5216
0,24039
0,21884
0,4198
1,2327
1,15976
1,16337
0,10476
0,5136
0,15224
0,13703
0,769
0,29021
0,28774
0,616
0,25384
0,32610
0,32742
0,15617
0,799
0,9387
1,17811
1,24682
0,8215
1,28767
1,17220
0,31593
0,1980
0,10179
0,24279
0,17704
0,2338
0,14496
0,8049
0,22595
0,32743
1,277
0,6500
1,31884
0,8524
0,23828
0,7746
0,29302
0,20668
0,24820
0,20341
1,27618
0,27433
1,1017
0,13971
0,27232
0,15643
0,20101
0,21814
0,18365
0,19376
0,4980
0,10392
0,12327
0,17145
0,2180
0,17205
0,3849
0,1635
0,29744
0,22172
0,17798
0,16378
0,17032
0,29164
0,21776
0,16131
0,13634
0,22414
1,33277
1,14456
0,15181
0,18483
0,25412
1,23315
0,7549
0,24144
0,17318
1,28502
0,4656
0,23593
0,28163
0,13501
0,1014
0,21006
0,12263
0,24084
0,17552
0,8789
0,24439
0,32154
0,7928
0,15035
0,23966
0,24656
0,198
0,11993
0,12410
0,250
1,11286
0,26624
1,10939
0,21179
1,21248
0,5128
0,32901
0,13254
1,22248
0,10867
0,7506
0,20317
0,26733
0,28250
0,13803
0,14214
0,26141
0,7193
0,17792
0,33013
0,28527
0,26119
0,5500
1,31880
0,8285
0,32161
0,25696
0,22093
1,21061
1,13533
0,9550
0,24994
0,11518
0,17660
0,11796
0,24785
0,6410
0,25660
0,2994
0,25195
0,1897
0,33185
0,28578
0,473
0,11683
0,32144
0,4239
0,16442
0,18321
0,17156
0,18229
0,18636
0,26777
1,31912
0,8067
0,8426
0,2822
0,4598
0,10291
0,2314
0,9405
0,10409
0,14528
0,17196
0,12902
0,223
0,27263
0,11510
0,10892
0,20072
0,20684
0,7135
0,19986
0,32886
0,18271
0,21539
0,7492
0,23300
0,22327
0,9890
0,26204
0,15687
0,27340
1,17920
0,19594
0,6132
0,33222
0,18630
0,26551
0,19258
0,31978
1,5183
0,16681
